Tap Time,ITI,Asynchornies,Tone Time,IOI
0.73,0.55,0.040000000000000036,0.69,0.5299999999999999
1.25,0.52,0.040000000000000036,1.21,0.52
1.74,0.49,0.030000000000000027,1.71,0.5
2.26,0.5199999999999998,0.029999999999999805,2.23,0.52
2.75,0.4900000000000002,-0.009999999999999787,2.76,0.5299999999999998
3.27,0.52,0.020000000000000018,3.25,0.4900000000000002
3.84,0.5699999999999998,0.06999999999999984,3.77,0.52
4.33,0.4900000000000002,0.03000000000000025,4.3,0.5299999999999998
4.81,0.47999999999999954,-0.010000000000000675,4.82,0.5200000000000005
,,,5.33,0.5099999999999998
5.88,,0.04999999999999982,5.83,0.5
6.39,0.5099999999999998,0.040000000000000036,6.35,0.5199999999999996
6.88,0.4900000000000002,0.0,6.88,0.5300000000000002
7.4,0.5200000000000005,-0.019999999999999574,7.42,0.54
,,,7.9,0.4800000000000004
8.41,,0.009999999999999787,8.4,0.5
8.85,0.4399999999999995,-0.0600000000000005,8.91,0.5099999999999998
9.4,0.5500000000000007,0.0,9.4,0.4900000000000002
9.92,0.5199999999999996,0.0,9.92,0.5199999999999996
10.43,0.5099999999999998,0.009999999999999787,10.42,0.5
10.92,0.4900000000000002,0.009999999999999787,10.91,0.4900000000000002
11.42,0.5,0.019999999999999574,11.4,0.4900000000000002
11.92,0.5,0.009999999999999787,11.91,0.5099999999999998
12.42,0.5,-0.009999999999999787,12.43,0.5199999999999996
,,,12.93,0.5
,,,13.44,0.5099999999999998
13.97,,0.0,13.97,0.5300000000000011
14.49,0.5199999999999996,0.019999999999999574,14.47,0.5
15.02,0.5299999999999994,0.049999999999998934,14.97,0.5
15.5,0.4800000000000004,0.02999999999999936,15.47,0.5
16.01,0.5100000000000016,0.030000000000001137,15.98,0.5099999999999998
16.52,0.509999999999998,0.05000000000000071,16.47,0.48999999999999844
17.02,0.5,0.019999999999999574,17.0,0.5300000000000011
17.52,0.5,0.0,17.52,0.5199999999999996
18.02,0.5,0.00999999999999801,18.01,0.490000000000002
18.55,0.5300000000000011,0.03999999999999915,18.51,0.5
19.04,0.48999999999999844,0.029999999999997584,19.01,0.5
,,,19.52,0.509999999999998
20.03,,0.010000000000001563,20.02,0.5
,,,20.53,0.5100000000000016
21.06,,0.03999999999999915,21.02,0.48999999999999844
,,,21.52,0.5
22.08,,0.03999999999999915,22.04,0.5199999999999996
,,,22.54,0.5
23.07,,0.019999999999999574,23.05,0.5100000000000016
23.62,0.5500000000000007,0.05000000000000071,23.57,0.5199999999999996
24.1,0.4800000000000004,0.010000000000001563,24.09,0.5199999999999996
24.65,0.5499999999999972,0.03999999999999915,24.61,0.5199999999999996
,,,25.11,0.5
25.66,,0.030000000000001137,25.63,0.5199999999999996
26.19,0.5300000000000011,0.0400000000000027,26.15,0.5199999999999996
26.68,0.48999999999999844,0.019999999999999574,26.66,0.5100000000000016
