Tone Time,IOI,Asynchornies,Tap Time,ITI
0.89,0.5800000000000001,,,
1.46,0.57,,,
2.02,0.56,-0.040000000000000036,2.06,
2.58,0.56,-0.040000000000000036,2.62,0.56
3.13,0.5499999999999998,-0.050000000000000266,3.18,0.56
3.7,0.5700000000000003,-0.020000000000000018,3.72,0.54
4.24,0.54,-0.04999999999999982,4.29,0.5699999999999998
4.82,0.5800000000000001,,,
5.38,0.5599999999999996,,,
5.94,0.5600000000000005,,,
6.51,0.5699999999999994,-0.009999999999999787,6.52,
7.05,0.54,-0.03000000000000025,7.08,0.5600000000000005
7.61,0.5600000000000005,-0.02999999999999936,7.64,0.5599999999999996
8.17,0.5599999999999996,0.0,8.17,0.5300000000000002
8.73,0.5600000000000005,,,
9.29,0.5599999999999987,,,
9.86,0.5700000000000003,-0.040000000000000924,9.9,
10.43,0.5700000000000003,,,
10.96,0.5300000000000011,-0.05999999999999872,11.02,
11.53,0.5699999999999985,,,
12.09,0.5600000000000005,0.009999999999999787,12.08,
12.66,0.5700000000000003,0.0,12.66,0.5800000000000001
13.21,0.5500000000000007,,,
13.78,0.5699999999999985,,,
14.35,0.5700000000000003,-0.07000000000000028,14.42,
14.91,0.5600000000000005,-0.009999999999999787,14.92,0.5
15.47,0.5600000000000005,-0.06999999999999851,15.54,0.6199999999999992
16.05,0.5800000000000001,-0.03999999999999915,16.09,0.5500000000000007
16.61,0.5599999999999987,-0.019999999999999574,16.63,0.5399999999999991
17.19,0.5800000000000018,,,
17.74,0.5499999999999972,-0.05000000000000071,17.79,
18.31,0.5700000000000003,-0.019999999999999574,18.33,0.5399999999999991
18.88,0.5700000000000003,-0.010000000000001563,18.89,0.5600000000000023
19.44,0.5600000000000023,-0.07000000000000028,19.51,0.620000000000001
20.01,0.5700000000000003,-0.019999999999999574,20.03,0.5199999999999996
20.58,0.5699999999999967,0.0,20.58,0.5499999999999972
21.15,0.5700000000000003,-0.030000000000001137,21.18,0.6000000000000014
21.72,0.5700000000000003,-0.010000000000001563,21.73,0.5500000000000007
22.31,0.5899999999999999,0.019999999999999574,22.29,0.5599999999999987
22.87,0.5600000000000023,,,
23.45,0.5799999999999983,,,
24.03,0.5800000000000018,,,
24.6,0.5700000000000003,-0.029999999999997584,24.63,
25.15,0.5499999999999972,-0.05000000000000071,25.2,0.5700000000000003
25.73,0.5800000000000018,0.0,25.73,0.5300000000000011
26.29,0.5599999999999987,-0.019999999999999574,26.31,0.5799999999999983
26.84,0.5500000000000007,,,
27.41,0.5700000000000003,,,
27.96,0.5500000000000007,,,
28.52,0.5599999999999987,,,
29.08,0.5599999999999987,-0.020000000000003126,29.1,
29.65,0.5700000000000003,,,
30.22,0.5700000000000003,-0.13000000000000256,30.35,
30.78,0.5600000000000023,-0.00999999999999801,30.79,0.4399999999999977
31.33,0.5499999999999972,0.00999999999999801,31.32,0.5300000000000011
31.9,0.5700000000000003,,,
32.45,0.5500000000000043,,,
33.01,0.5599999999999952,-0.030000000000001137,33.04,
33.57,0.5600000000000023,-0.020000000000003126,33.59,0.5500000000000043
34.13,0.5600000000000023,0.010000000000005116,34.12,0.529999999999994
34.7,0.5700000000000003,-0.00999999999999801,34.71,0.5900000000000034
35.26,0.5599999999999952,,,
35.82,0.5600000000000023,,,
36.39,0.5700000000000003,-0.00999999999999801,36.4,
36.95,0.5600000000000023,-0.02999999999999403,36.98,0.5799999999999983
37.52,0.5700000000000003,-0.00999999999999801,37.53,0.5500000000000043
38.08,0.5599999999999952,-0.030000000000001137,38.11,0.5799999999999983
38.65,0.5700000000000003,,,
39.22,0.5700000000000003,-0.09000000000000341,39.31,
39.78,0.5600000000000023,-0.03999999999999915,39.82,0.509999999999998
40.36,0.5799999999999983,-0.00999999999999801,40.37,0.5499999999999972
40.92,0.5600000000000023,0.0,40.92,0.5500000000000043
41.48,0.5599999999999952,-0.010000000000005116,41.49,0.5700000000000003
42.05,0.5700000000000003,,,
42.61,0.5600000000000023,,,
43.19,0.5799999999999983,-0.010000000000005116,43.2,
43.76,0.5700000000000003,0.00999999999999801,43.75,0.5499999999999972
44.31,0.5500000000000043,-0.01999999999999602,44.33,0.5799999999999983
44.87,0.5599999999999952,-0.020000000000003126,44.89,0.5600000000000023
45.43,0.5600000000000023,-0.00999999999999801,45.44,0.5499999999999972
46.0,0.5700000000000003,,,
46.57,0.5700000000000003,-0.00999999999999801,46.58,
47.15,0.5799999999999983,-0.030000000000001137,47.18,0.6000000000000014
47.73,0.5799999999999983,,,
48.3,0.5700000000000003,-0.030000000000001137,48.33,
48.87,0.5700000000000003,-0.010000000000005116,48.88,0.5500000000000043
49.45,0.5800000000000054,-0.0899999999999963,49.54,0.6599999999999966
